companyName,SN,,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2
 中鼎,9933,,12.24,8.03,4.25,13.11,9.57,6.45,2.7,13.2,9.2,5.8,2.82,10.85,8.55,6.02,3.08,16.86,12.71,8.93
 成霖,9934,,-9.36,3.77,0.86,7.13,5.85,4.19,1.24,2.32,2.13,0.92,0.37,29.68,1.43,0.8,0.03,-5.39,-0.96,0.78
 慶豐富,9935,,4.25,2.73,1.39,7.11,6.14,6.12,2.68,8.12,21.67,26.65,29.4,-50.71,-12.17,-6.96,-7.03,-5.54,1.02,0.1
 全國,9937,,11.65,7.68,3.4,11.38,9.08,6.75,1.73,7.63,5.96,3.6,1.89,8.55,7.18,4.5,2.71,8.82,7.55,5.02
 百和,9938,,13.45,9.36,4.62,15.25,11.25,7.63,3.46,14.37,10.48,7.4,3.21,11.54,8.6,5.97,2.16,7.85,5.25,3.37
 宏全,9939,,8.55,5.41,1.59,7.18,6.88,5.42,2.22,8.27,8.69,5.04,2,10.55,10.61,7.43,3.44,11.15,10.26,6.16
 信義,9940,,3.99,1.75,-0.65,6.23,4.8,3.63,0.9,11.59,7.53,6.09,2.53,29.47,23.75,17.08,6.16,19.06,13.64,9.58
 裕融,9941,,12.14,8.14,4.28,14.63,13.24,10.58,4.84,18.11,15.02,10.82,5,19.42,16.65,11.68,5.82,20.2,17,11.47
 茂順,9942,,13.24,9.15,3.88,15.77,12.54,7.92,3.73,20.48,16.7,11.67,5.62,21.44,16.04,10.72,4.76,16.17,12.08,8.1
 好樂迪,9943,,15.64,11.49,5.75,28.76,25.05,19.22,10.25,20.1,15.3,9.8,6.63,12.4,10.88,7.96,5.61,17.09,13.12,10.53
 新麗,9944,,3,2.79,1.32,2.49,3.48,2.95,1.6,4.71,4.16,3.37,1.9,4.77,4.61,3.97,1.92,0.66,1.2,0.6
 潤泰新,9945,,15.09,8.55,6.85,27.73,24.52,12.43,5.49,18.63,15.51,6.78,2.66,83.52,18.02,12.04,3.89,14.61,8.33,7.33
 三發地產,9946,,6.54,5.86,3.73,18.72,12.04,1.66,0.64,1.23,-1.13,-0.69,1.25,41.31,37.97,23.61,13.33,23.58,16.3,8.3
 琉園,9949,,-4.21,-2.01,-1,-8.57,-7.2,-4.13,-1.61,0.13,-1.34,0.08,0.6,1.65,-0.55,0.18,0.29,4.65,2.67,2.74
 萬國通,9950,,1.16,1.42,0.27,5.51,5.28,2.45,1.4,8.92,9.75,6.18,1.91,8.05,7.15,6.65,3.41,7.59,6.72,4.31
 皇田,9951,,25.01,17.95,8.6,33.91,25.35,15.68,5.36,34.35,25.07,20.33,10.7,38.13,28.42,18.66,8.36,28.2,22.51,14.88
 佳龍,9955,,-0.26,0.65,-0.44,-5.58,-2.17,-1.16,0.37,1.61,0.79,0.58,0.52,-2.69,0.08,-3.68,0.28,2.02,2.76,1.68
 世紀鋼,9958,,1.99,2.35,0.32,8.07,4.43,0.27,0.19,2.86,2.43,2.79,1.7,9.44,9.68,7.14,4.13,15.31,9.95,8.92
 邁達康,9960,,1.04,0.36,0.03,2.9,1.55,2.08,0.63,4.51,3.12,1.65,0.03,8.48,6.26,4.16,1.09,10.77,8.39,5.41
 有益,9962,,3.93,3.12,1.09,-6.89,-5.73,-3.54,-3.68,1.74,7.03,3.46,1.32,6.55,5.71,3.75,4.16,11.36,10.38,-2.6
