company name,index,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1
鈊象,3293,"675,726","499,050","236,737","305,267","189,260","94,980","18,492","225,854","172,807","87,228","18,489","113,732","88,792","77,241","55,070","304,230","319,416","268,485","158,105"
英濟,3294,"22,023","-46,554","-71,224","48,637","34,673","-46,992","-4,836","-212,601","-175,364","-142,452","-68,280","-79,414","4,191","21,397","10,613","-184,273","-141,522","-103,458","-21,998"
勝德,3296,"41,281","10,990","-27,397","9,359","-18,864","-59,705","-31,950","41,349","2,373","-29,643","-30,992","-64,246","-57,557","-49,585","-31,409","114,292","114,239","78,441","59,341"
杭特,3297,"2,641","14,311","11,629","31,741","22,317","5,555","11,882","86,679","49,973","31,137","33,389","134,882","96,595","63,769","31,074","72,514","41,428","18,442","-1,859"
帛漢,3299,"242,494","156,560","77,304","331,784","241,759","156,758","84,305","217,474","156,477","89,384","24,349","54,125","52,663","53,893","19,864","-5,913","30,239","19,383","5,236"
岱稜,3303,"111,587","80,794","35,870","136,252","95,047","21,938","-5,926","8,721","-6,708","65,015","26,961","130,596","103,795","69,197","43,588","123,956","98,120","21,717","-11,204"
昇貿,3305,"216,188","139,232","60,493","113,240","85,447","49,550","31,282","305,863","247,216","166,687","95,197","353,921","271,086","213,281","126,288","352,257","274,261","187,727","83,913"
鼎天,3306,"40,858","37,102","6,390","56,176","50,941","35,747","5,371","83,150","71,205","47,568","17,580","102,410","57,968","31,734","5,733","61,156","57,479","40,325","4,976"
聯德,3308,"-13,316","26,301","34,185",87,"21,732","-4,765","-15,792","-33,407","-80,346","-111,703","-57,383","-119,559","-78,795","-30,923","-4,189","-33,957","-40,537","-6,737","2,223"
佳穎,3310,"24,339","32,906","25,074","111,626","49,965","23,324","11,650","18,451","6,416","-3,149","2,975","14,329","7,192","9,411","4,962","27,737","17,299","9,929","6,060"
閎暉,3311,"-93,585","-74,922","-78,222","101,383","129,560","75,180","25,469","-1,402,037","-1,392,864","-127,373","-49,226","264,567","262,979","220,621","103,790","856,844","649,583","443,492","209,666"
弘憶股,3312,"55,649","29,843","1,879","-471,290","-198,136","-112,431","-36,056","87,278","42,803","-30,159","6,961","136,851","86,667","52,869","32,119","38,153","18,658","5,781","-8,325"
斐成,3313,"-115,714","-90,752","-37,667","-208,594","-72,200","-66,356","-2,395","-225,527","-229,331","-215,507","-4,988","-40,906","-40,040","-25,440","-10,759","-7,970","33,090","51,331","57,832"
宣昶,3315,"26,371","20,314","19,041","69,421","24,947","-29,721","9,106","143,670","69,972","45,128","33,975","60,616","10,869","10,593","4,137","53,125","45,134","22,318","6,995"
尼克森,3317,"38,812","32,165","6,591","-27,020","-33,835","-30,232","-4,236","14,433","12,705","10,344","4,545","27,381","23,366","15,393","6,315","-35,618","-44,880","-66,479","-57,421"
同泰,3321,"-212,374","-127,196","-48,281","177,633","174,701","140,758","81,229","342,749","259,678","154,681",,"282,127",,,,"75,799",,,
建舜電,3322,"-83,718","-65,675","-28,646","-112,406","-74,822","-68,468","-28,831","32,656","14,695","4,748","19,740","-8,392","-13,349","31,997","25,699","-97,952","-83,643","-95,976","-53,358"
加百裕,3323,"30,508",803,"2,150","103,230","86,110","14,305","32,467","144,860","71,744","77,927","38,479","5,327","17,685","25,826","1,428","56,719","54,071","62,264","30,098"
雙鴻,3324,"425,340","235,425","110,100","182,684","119,815","-27,575","-28,703","13,830","-19,527","3,599",713,"33,692","4,607","1,105",993,"133,191","123,459","59,581","29,404"
旭品,3325,"8,718","-1,098","1,127","12,069","-6,154","-9,162","-8,436",792,"6,918","13,547","2,413","-69,938","-34,982","-29,759","-31,346","-120,876","-69,457","-69,875","-38,330"
幸康,3332,"91,437","55,715","30,046","119,909","104,185","63,654","24,752","147,584","111,629","78,157","30,200","169,406","135,392","84,590","38,611","105,675","81,194","55,416","29,810"
泰碩,3338,"111,414","49,514","16,931","132,365","75,607","26,445","16,932","165,983","119,523","77,240","30,729","143,653","87,936","66,211","42,107","131,103",,"56,772",
泰谷,3339,"-378,212","-200,295","-113,117","-996,022","-546,169","-320,243","-137,440","-580,278","-282,004","-181,632","-105,789","-831,316","-466,279","-296,910","-208,563","-730,440","-478,086","-301,686","-138,029"
麗清,3346,"111,114","78,037","31,855","70,342","59,521","57,059","46,680","78,884",,"7,630",,"73,379",,"50,197",,"26,738",,"20,156",
